Film 	Lead Studio	Rotten Tomatoes %	Audience  score %	Story	Genre	Number of Theatres in US Opening Weekend	Box Office Average per US Cinema (Opening Weekend)	Domestic Gross	Foreign Gross	Worldwide Gross	Budget	Profitability	Opening Weekend
Apollo 18	Weinstein Company	23	31	Monster Force	Horror	3328	2615	17.69	7.88	25.56	5	511.24%	8.7
Appaloosa	Warner Bros.	77	55	Rescue	Action	1045	4833	20.07	7.52	27.59	20	137.95%	5
Armored 	Sony	40	34	Temptation	Action	1915	3400	16	0	16	20	80.00%	6.5
Arthur	Warner Bros	26	49	Sacrifice	Comedy	3276	3731	33.04	12.7	45.74	40	114.34%	12.22
Arthur Christmas	Aardman Animations	92	82	Journey and Return	Animation	3376	3537	46.46	100.95	147.41	150	98.27%	12.07
Astro Boy 	Summit	49	53	Quest	Animation	3014	2224	19.55	24.54	44.09	65	67.83%	6.7
Australia	Fox	55	69	Fish Out of Water	Adventure	2642	5602	46.69	161.8	208.49	78	267.30%	14.8
Avatar 	Fox	83	92	Metamorphosis	Action	3452	22313	760.5	2,023.00	2,783.50	237	1174.47%	77
Away We Go 	Focus	67	74	Discovery	Comedy	4	32603	9.45	5.44	14.89	21	70.90%	0.13
Baby Mama	Independent	63	59	Discovery	Comedy	2543	6845	60.32	3.7	64.02	70	91.46%	17.41
Babylon A.D.	Fox	7	32	quest	Action	3390	2798	22.53	47.68	70.21	45	156.03%	9.5
Bad Teacher	Independent	44	38	Comedy	Comedy	3049	10365	100.29	115.9	216.2	20	1080.98%	31.6
Bandslam 	Summit	79	60	Maturation	Comedy	2121	1052	5.2	6.9	12.1	20	61.00%	2.2
Bangkok Dangerous	Lionsgate	9	33	pursuit	Action	2650	2937	15.3	31.3	46.6	45	103.55%	7.8
Barry Munday	Independent	43	43	Maturation	Comedy								
Battle: Los Angeles	Relativity Media	35	50	Monster Force	Action	3417	10411	83.55	128.27	211.82	70	302.60%	35.57
Be Kind, Rewind	New Line	65	57	Comedy	Comedy	808	5013	11.18	19.4	30.58	20	152.88%	4.05
Beastly	CBS Films	19	50	Metamorphosis	Romance	1952	5047	27.87	0.97	28.83	17	169.61%	9.85
Bedtime Stories	Disney	25	63	rivalry	Comedy	3681	7457	110.1	108.25	218.35	80	272.94%	27.5
Bee Movie	Paramount	52	57	Journey and Return	Animation	3928	9679	126.63	160.49	287.12	150	191.42%	38
Beginners	Independent	84	80	Love	Comedy	5	28268	5.79	8.52	14.31	3.2	447.19%	0.14
Beowulf	Paramount	71	52	Journey and Return	Action	3153	8726	82.2	114.07	196.26	150	130.84%	27.5
Beverly Hills Chihuahua	Disney	41	56	Journey and Return	Adventure	3215	9114	94.5	50.7	145.2	20	726.00%	29.3
Black Swan        	Fox	88	86	Wretched Excess	Drama	959	8742	106.95	222.44	329.39	13	2533.77%	8.38
Blades of Glory	Paramount	69	66	Rivalry	Comedy	3372	9790	118.59	27.11	145.71	61	238.87%	33
Body of Lies	Warner Bros.	53	65	Temptation	Action	2710	4754	39.19	75.7	114.89	67.5	170.21%	12.9
Bolt	Disney	89	76	rescue	Animation	3651	7182	109.9	195.93	305.83	150	203.88%	26.2
Bride Wars 	Fox	11	56	Comedy	Comedy	3226	6528	58.75	56.43	115.15	30	383.83%	21.1
Bridesmaids	Relativity Media	90	77	Rivalry	Comedy	2918	8995	169.11	119.28	288.38	32.5	887.33%	26.25
Brooklyn's Finest	Independent	42	47	Temptation	Action	1936	6896	27.2	9.15	36.35	17	213.82%	13.4
Brothers 	Lionsgate	61	62	Transformation	Drama	2088	4563	28.5	14.77	43.27	26	166.42%	9.5
Bruno 	Universal	68	48	Comedy	Comedy	2756	11110	60.1	70.7	130.8	42	311.43%	30.6
Buried	Independent	86	63	Escape	Drama	11	9115	1.04	17.33	18.37	2	918.50%	0.103
Burlesque	Paramount	36	66	Rags to Riches	Drama	3037	3934	38.24	17.84	56.08	55	101.96%	11.95
Burn After Reading	Relativity Media	78	64	Comedy	Comedy	2651	7215	60.36	103.36	163.72	37	442.47%	19.13
Cadillac Records	Sony	67	64	Rags to Riches	Biography	687	5015	8.2	0.68	8.88	12	73.96%	3.4
Captain America: The First Avenger	Disney	78	75	Metamorphosis	Action	3715	17512	176.65	191.75	368.4	140	263.15%	65.06
Cars 2	Pixar	38	56	Fish Out Of Water	Animation	4115	16072	191.45	360.4	551.85	200	275.93%	66.14
Case 39	Independent	23	42	Monster Force	Horror	2211	2420	13.26	14.93	28.19	26	108.42%	5.4
Cats & Dogs: The Revenge of Kitty Galore	Independent	13	43	Pursuit	Action	3705	3314	43.59	68.9	112.49	85	132.34%	12.3
Cedar Rapids	20th Century Fox	86	61	Maturation	Comedy	15	20198	6.86		6.86	10	68.61%	0.3
Changeling	Independent	62	84	quest	Drama	1850	5055	35.73	77.28	113.01	55	205.47%	9.4
"Charlie St. Cloud	"	Universal	27	62	Discovery	Fantasy	2718	4555	31.16	14.93	46.09	44	104.75%	12.4
Charlie Wilson's War	Universal	82	73	Discovery	Biography	2575	3750	66.66	51.81	118.48	75	157.97%	9.6
Cirque du Freak: The Vampire's Assistant 	Universal	38	50	Discovery	Action	2754	2285	14.04	20.32	34.36	40	85.90%	6.3
City Island	Independent	81	77	Transformation	Comedy	2	16000	6.67	1.19	7.86	6	131.00%	0.032
City of Ember	Independent	52	48	escape	Adventure	2022	1548	7.84	10.05	17.89	38	47.08%	3.13
Clash of the Titans	Warner Bros.	28	48	Quest	Action	3777	16213	163.21	330	493.21	125	394.57%	61.2
Cloudy with a Chance of Meatballs 	Sony	86	70	Comedy	Animation	3119	9716	124.9	118.13	243.03	100	243.03%	30.3
Cloverfield	Paramount	77	67	Monster Force	Action	3411	11744	80.05	90.72	170.77	25	683.07%	40.1
College Road Trip	Buena Vista	13	56	comedy	Adventure	2706	5026	45.61	5.93	51.54	140	36.81%	13.6
Colombiana	Sony	28	55	Revenge	Action	2614	3982	36.67	24.3	60.97	40	152.41%	10.41
Conan the Barbarian	Lionsgate	22	34	Quest	Action	3015	3324	21.3	27.5	48.8	90	54.22%	10.02
Confessions of a Shopaholic 	Disney	24	53	Comedy	Comedy	2507	6010	44.27	64.05	108.3	70	155.00%	15
Contagion	Warner Bros	84	63	The Riddle	Thriller	3222	6935	75.66	59.8	135.46	60	225.76%	22.4
Conviction	Independent	68	71	Rescue	Biography	672	2424	6.79	2.92	9.71	12.5	77.68%	1.62
Cop Out	Warner Bros.	19	45	The Riddle	Action	3150	5781	44.88	10.64	55.52	30	185.07%	18.21
Coraline 	Universal	89	77	Journey and Return	Animation	2299	7329	75.28	49.3	124.58	60	207.63%	16.8
Country Strong	Sony	20	56	Rags to Riches	Drama	1424	5145	20.21	0.31	20.52	15	136.80%	7.33
Couples Retreat 	Universal	12	47	Comedy	Comedy	3000	11429	109.2	62.63	171.83	60	286.38%	34.3
Cowboys and Aliens	Universal	44	50	Monster Force	Action	3750	9715	100.24	74.58	174.82	163	107.25%	36.43
Crank: High Voltage 	Lionsgate	62	54	"Pursuit
"	Action	2223	3133	13.7	20.8	34.5	12.9	267.44%	7
Crazy, Stupid, Love	Warner Bros	78	81	Discovery	Romance	3020	6326	84.34	58.5	142.84	50	285.68%	19.1
Cyrus	Independent	80	51	Rivalry	Comedy	4	45429	7.47	2.45	9.92	7	141.71%	0.18
Daddy Day Camp	Sony	1	63	Comedy	Comedy	2332	1459	13.24	4.96	18.2	6	303.29%	3.4
Dance Flick 	Paramount	17	35	Comedy	Action	2450	4344	25.66	5.77	31.43	25	125.72%	10.6
Date Night	Fox	66	58	Pursuit	Comedy	3374	7471	98.71	53.55	152.26	55	276.84%	25.2
"Daybreakers	"	Lionsgate	67	50	Discovery	Action	2523	6003	30.1	21.31	51.41	20	257.05%	15.1
Dear John	Sony	29	66	Love	Drama	2969	10262	80.01	34.96	114.97	25	459.88%	30.4
Death at a Funeral	Independent	40	48	Comedy	Comedy	2459	6595	42.74	6.31	49.05	21	233.57%	16.2
Death Race	Universal	42	69	escape	Action	2532	4985	36.1	39.36	75.46	45	167.68%	12.62
Definitely, Maybe	Universal	71	72	Discovery	Comedy	2204	4430	32.01	23.2	55.21	7	788.76%	9.76
Despicable Me	Universal	81	81	Maturation	Animation	3476	16225	251.38	290.5	541.88	69	785.33%	56.4
Devil	Independent	52	45	Monster Force	Horror	2809	4375	33.6	23.23	56.83	10	568.30%	12.3
Diary of a Wimpy Kid	Independent	53	49	Underdog	Comedy	3077	7191	64	11.7	75.7	15	504.67%	22.1
Diary of a Wimpy Kid 2: Rodrick Rules	20th Century Fox	47	63	Comedy	Comedy	3167	7500	52.7	19.72	72.42	21	344.84%	23.75
Did You Hear About the Morgans? 	Sony	12	31	Comedy	Comedy	2718	2434	29.58	55.7	85.28	58	147.03%	6.6
Dinner for Schmucks	Paramount	43	47	Comedy	Comedy	2911	8082	73.03	13.38	86.41	69	125.23%	23.5
Disaster Movie	Lionsgate	2	28	Rescue	Comedy	2642	2209	14.19	20.62	34.81	20	174.05%	5.8
District 9 	Independent	91	81	Metamorphosis	Action	3049	12251	115.6	95.17	210.77	30	702.57%	37.4
Disturbia	Paramount	67	75	Pursuit	Thriller	2925	7598	80.21	37.55	117.76	20	588.80%	22.2
Dolphin Tale	Independent	84	81	Quest	Drama	3507	5461	71.08	16.86	87.95	37	237.69%	19.15
Don't Be Afraid Of The Dark	Miramax Films	59	37	Monster Force	Horror	2760	3089	24.05	7.5	31.55	25	126.18%	8.53
Doomsday	Relativity Media	48	47	Quest	Action	1936	2544	11.01	11.2	22.21	33	67.30%	4.9
Doubt	Independent	78	75	riddle	Drama	1267	4214	18.73	17.46	36.19	25	144.76%	5.3
Dr. Seuss' Horton Hears a Who!	Fox	79	75	rescue	Animation	3954	11384	154.53	142.6	297.13	85	349.56%	45
Drag Me to Hell 	Universal	92	61	Monster Force	Horror	2508	6310	42.1	48.7	90.8	30	302.67%	15.8
Dragon Wars (aka D-War)	Mediaplex	27	44	Monster Force	Action	2277	2213	10.98	63.27	74.25	75	99.00%	5
Dragonball Evolution 	Fox	15	28	Quest	Action	2181	2181	9.36	48.87	58.23	30	194.10%	4.8
Dream House	Morgan Creek Productions	7	38	The Riddle	Horror	2661	3055	21.3	17.2	38.5	50	77.00%	8.13
Drillbit Taylor	Paramount	26	49	Comedy	Comedy	3056	3373	32.86	16.82	49.68	40	124.21%	10.3
Drive	Independent	93	79	Rivalry	Thriller	2886	3929	34.68	32.33	67.01	15	446.71%	11.34
Drive Angry	Independent	45	38	Rescue	Action	2290	2265	10.72	18.21	28.93	45	64.29%	5.19
Due Date	Warner Bros.	40	56	Comedy	Comedy	3355	9743	99.65	100.9	200.55	50	401.10%	32.69
Duplicity 	Universal	64	38	Rivalry	Romance	2574	5425	40.57	37.57	78.14	60	130.23%	14
Dylan Dog: Dead of Night	Independent	6	28	Monster Force	Horror			1.19	3.45	4.63	20	23.17%	0.75
Eagle Eye	Paramount	27	72	pursuit	Action	3510	8305	101.18	76.62	177.8	80	222.25%	29.2
Easy A	Sony	85	75	Maturation	Comedy	2856	6209	58.4	15.24	73.64	8	920.50%	17.7
"Eat Pray Love	"	Sony	36	46	Journey and Return	Drama	3082	7497	80.57	123.91	204.48	60	340.80%	23.1
Edge of Darkness	Warner Bros.	55	56	Revenge	Crime	3066	5615	43.31	37.81	81.12	80	101.40%	17.2
Enchanted	Disney	93	80	Love	Comedy	3730	9233	127.81	212.68	340.49	85	400.57%	34.4
Epic Movie	Independent	2	38	Comedy	Comedy	2801	6644	39.74	47.13	86.87	20	434.33%	18.6
Evan Almighty	Universal	23	56	Comedy	Comedy	3604	8654	100.46	72.93	173.39	175	99.08%	31.2
Everybody's Fine 	Miramax	46	55	Discovery	Drama	2133	1806	9.2	7.2	16.4	21	78.10%	3.9
Everything Must Go	Reliance Entertainment	74	53	Discovery	Drama	218	3652	2.71		2.71	5	54.22%	0.79
Expelled: No Intelligence Allowed		10	42	comedy	Documentary	1052	2824	7.72	0	7.72	3.5	220.59%	2.97
Extract 	Miramax	62	37	Comedy	Comedy	1611	2694	10.8	0.03	10.83	7.5	144.33%	4.3
"Extraordinary Measures	"	CBS	27	55	Underdog	Drama	2549	2359	12.07	3.07	15.14	31	48.84%	6
Extremely Loud and Incredibly Close	Warner Bros.	47	62		Drama	2630	3820	31.59	14.4	45.99	40	114.98%	10.04
Fame	MGM	25	43	Maturation	Comedy	3096	3234	22.5	55.5	78	18	433.33%	10
Fantastic Four: Rise of the Silver Surfer	Fox	35	55	Monster Force	Action	3959	14663	131.92	157.13	289.05	130	222.34%	58
Fantastic Mr. Fox 	Fox	93	80	Rivalry	Animation	2033	3426	21	25.46	46.46	40	116.15%	7
Fast and Furious 	Universal	28	76	Revenge	Action	3461	20500	155.1	208	363.1	85	427.18%	70.9
Fast Five	Universal	78	83	Escape	Action	3644	23655	209.83	416.3	626.13	125	500.90%	86.19
"Faster	"	CBS	41	50	Revenge	Action	2454	3873	22.94	1.97	24.91	24	103.79%	8.52
Final Destination 5	New Line Cinema	61	56	Monster Force	Horror	3155	5715	42.59	115.3	157.89	40	394.72%	18.03
Fired Up! 	Independent	22	52	Comedy	Comedy	1810	3030	17.2	1.4	18.6	20	93.00%	5.5
Fireproof	Independent	40	51	love	Drama	839	8148	33.45	0.02	33.47	0.5	6693.40%	6.84
First Sunday	Sony	13	59	Comedy	Comedy	2213	8004	37.93	0.87	38.8	13	298.48%	17.7
Fly Me to the Moon	Independent	18	26	Journey and Return	Animation			12.42	27.9	40.32	25	161.29%	1.9
Fool's Gold	Warner Bros.	11	53	Quest	Adventure	3125	6909	70.23	39.13	109.36	72.5	150.84%	21.6
Footloose	Spyglass Entertainment	71	71	Transformation	Drama	3549	4383	51.16	10.9	62.05	24	258.55%	15.56
For Colored Girls	Independent	33	73	Discovery	Drama	2127	9167	37.69	17.32	55.01	21	261.95%	19.5
Forgetting Sarah Marshall	Independent	85	75	maturation	Comedy	2798	6791	62.93	42	104.93	30	349.77%	17.73
Four Christmases	Warner Bros.	26	52	love	Comedy			118.25	43.58	161.83	80	202.29%	31.07
Friday the 13th	Paramount	25	52	Monster Force	Horror	3105	13066	65	26.4	91.4	19	481.05%	40.6
Friends With Benefits	Warner Bros	71	68	Temptation	Romance	2926	6364	55.8	93.74	149.54	35	427.26%	18.62
Fright Night	DreamWorks	75	68	Rivalry	Horror	3114	2477	18.3	18.8	37.1	30	123.67%	7.71
From Paris with Love	Independent	38	57	Pursuit	Action	2722	2997	24.08	28.72	52.8	52	101.54%	8.2
Funny People 	Universal	68	58	Transformation	Comedy	3007	7535	51.85	19.73	71.58	75	95.44%	22.7
"Furry Vengeance	"	Summit	8	36	Comedy	Comedy	2997	2211	17.63	18.34	35.97	35	102.77%	6.6
G-Force 	Disney	22	50	Comedy	Action	3697	8576	119.4	173.38	285.1	150	190.07%	31.7
G.I. Joe: The Rise of Cobra 	Paramount	33	62	Pursuit	Action	4007	13654	150.2	152.26	302.1	175	172.63%	54.7
Gamer 	Lionsgate	29	43	Revenge	Action	2502	3659	20.53	20.29	40.82	12.5	326.56%	9.15
Get Him to the Greek	Universal	73	63	Comedy	Comedy	2697	6515	60.97	30.42	91.39	40	228.48%	17.6
Get Smart	Warner Bros.	51	73	Pursuit	Action	3911	9891	130.32	100.37	230.69	80	288.36%	38.7
Ghost Rider	Sony	28	56	Monster Force	Action	3619	12541	115.8	112.94	228.74	110	207.94%	45.3
Ghost Town	Paramount	85	60	transformation	Comedy	1505	3330	13.25	13.71	26.96	20	134.80%	5.01
Ghosts of Girlfriends Past 	Warner Bros.	27	47	Love	Comedy	3175	4854	55.25	46.97	102.22	50	204.44%	15.4
Gnomeo and Juliet	Disney	56	52	Love	Animation	2994	8469	99.97	94	193.97	36	538.80%	25.36
Going the Distance	Warner Bros.	53	56	Love	Comedy	3030	2272	17.8	24.25	42.05	32	131.41%	6.9
Good Luck Chuck	Lionsgate	3	61	Love	Comedy	2612	5226	35.02	24.17	59.19	25	236.77%	13.7
Gran Torino	Warner Bros.	80	90	Temptation	Drama			148.1	121.86	269.96	33	818.05%	29.48
Green Lantern	Warner Bros	27	48	Metamorphosis	Action	3816	13935	116.6	103.25	219.85	200	109.93%	53.17
Green Zone	Universal	53	60	Quest	Action	3003	4765	35.05	59.82	94.87	100	94.87%	14.3
Greenberg	Independent	75	40	Transformation	Comedy	3	39384	4.23	1.92	6.15			0.11
Grindhouse	The Weinstein Company	82	86	pursuit	Action	2624	4419	25.04	25.16	50.19	53	94.71%	11.6
"Grown Ups	"	Independent	10	59	Comedy	Comedy	3534	11462	161.9	105.5	267.4	80	334.25%	40.5
Gulliver's Travels	Fox	21	31	Journey and Return	Comedy	2546	2477	42	194	236	112	210.71%	6.3
Hachiko: A Dog's Story	Independent	58	85	Sacrifice	Drama			0	40.26	40.26	16	251.63%	18
Hairspray	Warner Bros.	92	84	Underdog	Musical	3121	8803	118.87	83.68	202.55	75	270.06%	27.5
Hall Pass	Warner Bros	35	44	Temptation	Comedy	2950	4588	45.06	38.1	83.16	36	231.00%	13.54
Halloween	The Weinstein Company	26	64	Pursuit	Horror	3472	7592	58.27	20.2	78.47	20	392.35%	26.4
Halloween II	Independent	20	45	Escape	Horror	3025	5405	33.39	6.02	39.41	15	262.73%	16.3
Hancock	Sony	40	67	Discovery	Action	3965	15789	227.95	396.44	624.39	150	416.26%	62.6
Hanna	Universal	71	67	Quest	Action	2535	4880	40.26	23.52	63.78	30	212.60%	12.37
Hannah Montana: The Movie 	Disney	44	66	Maturation	Comedy	3118	10367	79.58	70.52	150.1	35	428.86%	32.3
Happily N'Ever After	Lionsgate	4	43	Maturation	Animation	2381	2775	15.59	22.5	38.08	47	81.03%	6.6
Happy Feet 2	Village Roadshow Pictures	41	59	Journey and Return	Animation	3606	5889	57.31	49.2	106.51	135	78.89%	21.24
Harold and Kumar Escape from Guantanamo Bay	Warner Bros.	54	65	escape	Adventure	2510	5939	38.11	5.38	43.49	12	362.44%	14.91
Harry Potter and the Deathly Hallows Part 1	Warner Bros.	79	87	Quest	Adventure	4125	30307	295	660	955	125	764.00%	125
Harry Potter and the Deathly Hallows Part 2	Warner Bros	96	92	Rivalry	Fantasy	4375	38672	381.01	947.1	1,328.11	125	1062.49%	169.19
Harry Potter and the Half-Blood Prince 	Warner Bros.	83	75	Quest	Adventure	4325	17997	302	632	934	250	373.60%	77.8
Harry Potter and the Order of the Phoenix	Warner Bros.	78	82	Quest	Adventure	4285	17998	292	647.88	939.88	150	626.59%	77.1
He's Just Not That Into You 	Warner Bros.	42	60	Love	Comedy	3175	8751	93.95	84.89	178.84	25	715.36%	27.8
Hellboy II: The Golden Army	Universal	87	70	sacrifice	Action	3204	10780	75.79	84.4	160.19	82.5	194.17%	34.5
Hesher	Independent	54	68	Wretched Excess	Drama			0.38	??	0.38	7	5.46%	0.13
High School Musical 3: Senior Year	Disney	65	76	love	Comedy	3623	11601	89.7	162.35	252.04	11	2291.31%	42.03
Hitman	Fox	15	61	Quest	Action	2458	5362	39.69	60.28	99.96	17.5	571.22%	13.2
Hop	Relativity Media	26	50	Fish Out Of Water	Animation	3579	10490	108.09	75.87	183.95	63	291.99%	37.54
Horrible Bosses	Warner Bros	69	72	Revenge	Comedy	3040	9310	117.54	92.1	209.64	35	598.97%	28.3
Hostel: Part II	Lionsgate	44	45	Escape	Horror	2350	3490	17.61	18.01	35.62	10	356.20%	8.2
Hot Tub Time Machine	MGM	64	57	Journey and Return	Adventure	2754	5091	50.29	14.13	64.42	36	178.94%	14
Hotel for Dogs 	Paramount	46	57	Comedy	Comedy	3271	5201	73	45.2	118.2	35	337.71%	17
How to Train Your Dragon	Paramount	98	90	Underdog	Animation	4055	10785	217.58	277.3	494.88	165	299.93%	43.7
Hugo	Paramount	93	84		Adventure	1277	8899	62.08	34.6	96.68	150	64.45%	11.36
I Am Legend	Warner Bros.	69	69	Quest	Thriller	3606	21411	256.39	327.76	584.16	150	389.44%	77.2
I Am Number Four	Paramount	32	57	Maturation	Thriller	3154	6167	55.1	89.4	144.5	60	240.83%	19.45
I Love You Beth Cooper 	Fox	14	38	Comedy	Comedy	1856	2648	14.8	1.58	16.38	18	91.00%	4.9
I Love You Phillip Morris	Independent	71	57	Love	Comedy	100		1.44	18.66	20.1	15	134.00%	0.11
I Love You, Man 	Paramount	83	72	Comedy	Comedy	2711	6570	71.4	20	91.4	40	228.50%	17.8
I Now Pronounce You Chuck and Larry	Universal	13	73	Comedy	Comedy	3495	9795	120.06	65.99	186.05	85	218.89%	34.2
I'm Still Here	Independent	52	38	Comedy	Comedy	120		0.41	0.14	0.55			0.097
Ice Age: Dawn of the Dinosaurs 	Fox	45	72	Quest	Animation	4099	10171	196.57	690.11	886.68	90	985.20%	41.7
Igor	Independent	36	42	Temptation	Animation	2339		19.44	11.22	30.66	30	102.21%	7.8
Imagine That 	Paramount	38	44	Comedy	Comedy	3008	1830	16.12	6.86	22.99	55	41.80%	5.5
Immortals	Relativity Media	36	59	Revenge	Action	3112	10349	80.49	102	182.49	75	243.31%	32.21
In Bruges	Focus	81	85	Fish Out of Water	Crime			7.8	25.59	33.39	15	222.63%	0.46
In the Land of Women	Warner Bros.	43	72	Transformation	Comedy	2155	2186	11.05	6.51	17.56	10	175.62%	4.7
In Time	Regency Enterprises	38	55	The Riddle	Thriller	3122	3860	36.49	90.9	127.39	40	318.48%	12.05
Inception	Warner Bros.	86	93	Journey and Return	Action	3792	16557	292.58	531	823.58	160	514.74%	62.8
Indiana Jones and the Kingdom of the Crystal Skull	Paramount	77	59	Pursuit	Action	4260	23507	317.02	469.53	786.56	185	425.17%	100.1
Inglourious Basterds 	Universal	88	87	Underdog	Adventure	3135	12024	120.5	200.91	321.41	70	459.16%	38
Inkheart 	Warner Bros.	39	51	Quest	Adventure	2655	2862	17.3	45.14	62.44	60	104.07%	7.6
Insidious	Sony	67	65	Monster Force	Horror	2408	5511	54.01	43	97.01	1.5	6467.27%	13.27
Into the Wild	Paramount	82	90	quest	Drama	658	3249	18.35	37.28	55.63	15	370.90%	2.1
Invictus	Warner Bros.	75	74	Underdog	Biography	2125	4052	37.49	84.74	122.23	60	203.72%	8.6
Iron Man	Paramount	94	91	Metamorphosis	Action	4105	24024	318.31	266.76	585.07	186	314.56%	98.62
Iron Man 2	Paramount	74	80	Rivalry	Action	4380	29252	312.43	309.62	622.05	200	311.03%	128.1
It's Complicated 	Universal	56	63	Love	Comedy	2887	7655	112.73	111.87	224.6	85	264.24%	22.1
J.Edgar	Warner Bros	42	84	Wretched Excess	Drama	1910	5873	37.39	35.8	73.19	35	209.11%	11.22
Jack and Jill	Happy Madison	4	59	Comedy	Comedy	3438	7273	73.83	51.1	124.93	79	158.14%	25
Jackass 3-D	Paramount	63	72	Comedy	Documentary	3081	16343	117.19	52.76	169.95	20	849.75%	50.4
Jane Eyre	Universal	85	77	Love	Romance			11.24	18.91	30.15			0.18
Jennifer's Body 	Fox	42	37	Monster Force	Comedy	2702	2542	16.2	15.35	31.55	16	197.19%	6.9
Johnny English Reborn	Relativity Media	38	55	Comedy	Comedy	1552	2470	8.31	149.63	157.94	45	350.98%	3.83
Jonah Hex	Warner Bros.	13	24	Revenge	Action	2825	1904	10.55	0.36	10.91	47	23.21%	5.4
